"","Rk","Name","Team","Age","Pos","GP","G","A","P","PIM","+/-","TOI","ES","PP","SH","ESG","PPG","SHG","GWG","OTG","ESA","PPA","SHA","GWA","OTA","ESP","PPP","SHP","GWP","OTP","PPP%","G/60","A/60","P/60","ESG/60","ESA/60","ESP/60","PPG/60","PPA/60","PPP/60","G/GP","A/GP","P/GP","SHOTS","SH%","HITS","BS","FOW","FOL","FO%"
"76","76","Trevor Zegras","ANA",21,"F","81",23,42,65,88,-24,"18:49","15:59","2:49","0:01","19","4","0",3,"2","29","13","0","3","1",48,"17",0,"6","3","26.2%",0.905,1.652,2.557,"0.88","1.344","2.224","1.049","3.41","4.459",0.284,0.519,"0.802",184,"12.5%",46,"29",237,336,"41.36%"
"77","77","Brayden Schenn","STL",31,"F","82",21,44,65,50,-27,"18:25","15:06","2:35","0:43","15","6","0",3,"1","35","9","0","8","2",50,"15",0,"11","3","23.1%",0.834,1.747,2.581,"0.727","1.695","2.422","1.694","2.541","4.235",0.256,0.537,"0.793",144,"14.6%",140,"41",472,542,"46.55%"
"78","78","Robert Thomas","STL",23,"F","73",18,47,65,22,-8,"19:20","15:08","2:59","1:12","12","5","1",2,"1","30","17","0","7","1",42,"22",1,"9","2","33.8%",0.765,1.997,2.762,"0.651","1.628","2.279","1.374","4.673","6.048",0.247,0.644,"0.89",106,"17.0%",15,"29",646,575,"52.91%"
"79","79","Chandler Stephenson","VGK",28,"F","81",16,49,65,26,12,"19:01","15:07","2:28","1:24","9","6","1",5,"0","38","9","2","10","1",47,"15",3,"15","1","23.1%",0.623,1.909,2.532,"0.441","1.861","2.302","1.793","2.689","4.481",0.198,0.605,"0.802",120,"13.3%",74,"55",675,487,"58.09%"
"80","80","Brandon Hagel","TBL",24,"F","81",30,34,64,54,23,"18:38","14:19","2:20","1:58","22","7","1",3,"0","26","6","2","5","0",48,"13",3,"8","0","20.3%",1.192,1.351,2.542,"1.138","1.345","2.482","2.207","1.892","4.099",0.37,0.42,"0.79",178,"16.9%",68,"58",23,58,"28.40%"
"81","81","Alex Killorn","TBL",33,"F","82",27,37,64,45,18,"17:12","13:11","2:07","1:53","23","3","1",5,"2","27","9","1","4","0",50,"12",2,"9","2","18.8%",1.148,1.573,2.721,"1.276","1.497","2.773","1.032","3.096","4.128",0.329,0.451,"0.78",143,"18.9%",61,"31",1,1,"50.00%"
"82","82","Elias Lindholm","CGY",28,"F","80",22,42,64,14,6,"18:39","13:27","2:53","2:17","11","10","1",2,"0","29","11","2","5","0",40,"21",3,"7","0","32.8%",0.885,1.689,2.574,"0.613","1.616","2.228","2.595","2.855","5.45",0.275,0.525,"0.8",186,"11.8%",98,"50",857,681,"55.72%"
"83","83","Vincent Trocheck","NYR",29,"F","82",22,42,64,58,3,"19:18","15:33","2:57","0:47","13","9","0",3,"0","34","8","0","10","0",47,"17",0,"13","0","26.6%",0.833,1.591,2.424,"0.611","1.599","2.21","2.224","1.977","4.2",0.268,0.512,"0.78",225,"9.8%",182,"44",721,565,"56.07%"
"84","84","Vince Dunn","SEA",26,"D","81",14,50,64,55,28,"23:40","20:15","2:49","0:35","14","0","0",2,"1","35","15","0","9","4",49,"15",0,"11","5","23.4%",0.438,1.565,2.003,"0.512","1.28","1.792","0","3.934","3.934",0.173,0.617,"0.79",149,"9.4%",115,"80",0,0,"0.00%"
"85","85","Mikhail Sergachyov","TBL",24,"D","79",10,54,64,53,13,"23:48","19:00","2:32","2:15","7","3","0",2,"0","29","24","1","14","1",36,"27",1,"16","1","42.2%",0.319,1.722,2.041,"0.28","1.159","1.438","0.894","7.15","8.044",0.127,0.684,"0.81",156,"6.4%",128,"149",0,0,"0.00%"
